2017-12-11-17-28-15    UserID [0]    Transaction Complete 
2017-12-11-17-28-15    UserID [3]    Transaction Complete 
2017-12-11-17-28-15    UserID [2]    Transaction Complete 
2017-12-11-17-28-15    UserID [4]    Transaction Complete 
2017-12-11-17-28-15    UserID [1]    Transaction Complete 
2017-12-11-17-28-16    UserID [4]    Transaction Complete 
2017-12-11-17-28-16    UserID [2]    Transaction Complete 
2017-12-11-17-28-16    UserID [1]    Transaction Complete 
2017-12-11-17-28-16    UserID [0]    Transaction Complete 
2017-12-11-17-28-16    UserID [3]    Transaction Complete 
2017-12-11-17-28-16    UserID [1]    Transaction Complete 
2017-12-11-17-28-16    UserID [0]    Transaction Complete 
2017-12-11-17-28-16    UserID [4]    Transaction Complete 
2017-12-11-17-28-16    UserID [2]    Transaction Complete 
2017-12-11-17-28-16    UserID [3]    Transaction Complete 
2017-12-11-17-28-16    UserID [4]    Transaction Complete 
2017-12-11-17-28-16    UserID [0]    Transaction Complete 
2017-12-11-17-28-16    UserID [3]    Transaction Complete 
2017-12-11-17-28-16    UserID [2]    Transaction Complete 
2017-12-11-17-28-16    UserID [1]    Transaction Complete 
2017-12-11-17-28-17    UserID [4]    Transaction Complete 
2017-12-11-17-28-17    UserID [0]    Transaction Complete 
2017-12-11-17-28-17    UserID [1]    Transaction Complete 
2017-12-11-17-28-17    UserID [3]    Transaction Complete 
2017-12-11-17-28-17    UserID [2]    Transaction Complete 
2017-12-11-17-28-17    UserID [4]    Transaction Complete 
2017-12-11-17-28-17    UserID [1]    Transaction Complete 
2017-12-11-17-28-17    UserID [2]    Transaction Complete 
2017-12-11-17-28-17    UserID [3]    Transaction Complete 
2017-12-11-17-28-17    UserID [0]    Transaction Complete 
2017-12-11-17-28-17    UserID [4]    Transaction Complete 
2017-12-11-17-28-17    UserID [0]    Transaction Complete 
2017-12-11-17-28-17    UserID [2]    Transaction Complete 
2017-12-11-17-28-17    UserID [1]    Transaction Complete 
2017-12-11-17-28-17    UserID [3]    Transaction Complete 
2017-12-11-17-28-18    UserID [4]    Transaction Complete 
2017-12-11-17-28-18    UserID [3]    Transaction Complete 
2017-12-11-17-28-18    UserID [0]    Transaction Complete 
2017-12-11-17-28-18    UserID [2]    Transaction Complete 
2017-12-11-17-28-18    UserID [1]    Transaction Complete 
2017-12-11-17-28-18    UserID [3]    Transaction Complete 
2017-12-11-17-28-18    UserID [2]    Transaction Complete 
2017-12-11-17-28-18    UserID [1]    Transaction Complete 
2017-12-11-17-28-18    UserID [4]    Transaction Complete 
2017-12-11-17-28-18    UserID [0]    Transaction Complete 
2017-12-11-17-28-18    UserID [2]    Transaction Complete 
2017-12-11-17-28-18    UserID [1]    Transaction Complete 
2017-12-11-17-28-18    UserID [3]    Transaction Complete 
2017-12-11-17-28-18    UserID [4]    Transaction Complete 
2017-12-11-17-28-18    UserID [0]    Transaction Complete 
2017-12-11-17-28-19    UserID [1]    Transaction Complete 
2017-12-11-17-28-19    UserID [0]    Transaction Complete 
2017-12-11-17-28-19    UserID [2]    Transaction Complete 
2017-12-11-17-28-19    UserID [4]    Transaction Complete 
2017-12-11-17-28-19    UserID [3]    Transaction Complete 
2017-12-11-17-28-19    UserID [4]    Transaction Complete 
2017-12-11-17-28-19    UserID [2]    Transaction Complete 
2017-12-11-17-28-19    UserID [0]    Transaction Complete 
2017-12-11-17-28-19    UserID [3]    Transaction Complete 
2017-12-11-17-28-19    UserID [1]    Transaction Complete 
2017-12-11-17-28-19    UserID [3]    Transaction Complete 
2017-12-11-17-28-19    UserID [2]    Transaction Complete 
2017-12-11-17-28-19    UserID [1]    Transaction Complete 
2017-12-11-17-28-19    UserID [4]    Transaction Complete 
2017-12-11-17-28-19    UserID [0]    Transaction Complete 
2017-12-11-17-28-19    UserID [1]    Transaction Complete 
2017-12-11-17-28-19    UserID [2]    Transaction Complete 
2017-12-11-17-28-19    UserID [0]    Transaction Complete 
2017-12-11-17-28-19    UserID [4]    Transaction Complete 
2017-12-11-17-28-19    UserID [3]    Transaction Complete 
2017-12-11-17-28-20    UserID [1]    Transaction Complete 
2017-12-11-17-28-20    UserID [3]    Transaction Complete 
2017-12-11-17-28-20    UserID [2]    Transaction Complete 
2017-12-11-17-28-20    UserID [0]    Transaction Complete 
2017-12-11-17-28-20    UserID [4]    Transaction Complete 
2017-12-11-17-28-20    UserID [1]    Transaction Complete 
2017-12-11-17-28-20    UserID [3]    Transaction Complete 
2017-12-11-17-28-20    UserID [0]    Transaction Complete 
2017-12-11-17-28-20    UserID [2]    Transaction Complete 
2017-12-11-17-28-20    UserID [4]    Transaction Complete 
